DB	DB_Object_ID	DB_Object_Symbol	Qualifier	Ontology_ID ID	Ontology_ID Name	Reference	Evidence_Code	With	Aspect	DB_Object_Name	DB_Object_Synonym	DB_Object_Type	taxon	Date	Assigned_by	Properties ID	Properties Name	Date Created	
	Rv3571	hmp		GO:0051409	response to nitrosative stress	PMID:10348862	IEP		P		Rv3571	protein	organism:1773	20100306	rwst			Mar 6, 2010	
	Rv0054	ssb		GO:0003697	single-stranded DNA binding	PMID:10491108	IDA		F		Rv0054	protein	organism:1773	20100306	rwst			Mar 6, 2010	
	Rv0054	ssb		GO:0051289	protein homotetramerization	PMID:10491108	IPI		P		Rv0054	protein	organism:1773	20100306	rwst			Mar 6, 2010	
	Rv2958c	Rv2958c		GO:0020012	evasion or tolerance of host immune response	PMID:10603413	IDA		P		Rv2958c	protein	organism:1773	20100306	rwst			Mar 6, 2010	
	Rv2962c	Rv2962c		GO:0020012	evasion or tolerance of host immune response	PMID:10603413	IDA		P		Rv2962c	protein	organism:1773	20100306	rwst			Mar 6, 2010	
	Rv2220	glnA		GO:0020012	evasion or tolerance of host immune response	PMID:10603413	IDA		P		Rv2220	protein	organism:1773	20100306	rwst			Mar 6, 2010	
	Rv2710	mysB		GO:0045893	positive regulation of transcription, DNA-dependent	PMID:10580156	IDA		P		Rv2710	protein	organism:1773	20100306	rwst			Mar 6, 2010	
	Rv0467	icl1		GO:0004451	isocitrate lyase activity	PMID:10572116	IDA		F		Rv0467	protein	organism:1773	20100306	rwst			Mar 6, 2010	
	Rv0467	icl1		GO:0006097	glyoxylate cycle	PMID:10572116	IDA		P		Rv0467	protein	organism:1773	20100306	rwst			Mar 6, 2010	
	Rv1915	aceAa		GO:0004451	isocitrate lyase activity	PMID:10572116	IDA		F		Rv1915	protein	organism:1773	20100306	rwst			Mar 6, 2010	
	Rv1915	aceAa		GO:0006097	glyoxylate cycle	PMID:10572116	IDA		P		Rv1915	protein	organism:1773	20100306	rwst			Mar 6, 2010	
	Rv0014c	pknB		GO:0046777	protein autophosphorylation	PMID:10531215	IDA		P		Rv0014c	protein	organism:1773	20100306	rwst			Mar 6, 2010	
	Rv0014c	pknB		GO:0004674	protein serine/threonine kinase activity	PMID:10531215	IDA		F		Rv0014c	protein	organism:1773	20100306	rwst			Mar 6, 2010	
	Rv1542c	glbN		GO:0020037	heme binding	PMID:10500158	IDA		F		Rv1542c	protein	organism:1773	20100306	rwst			Mar 6, 2010	
	Rv1542c	glbN		GO:0019825	oxygen binding	PMID:10500158	IDA		F		Rv1542c	protein	organism:1773	20100306	rwst			Mar 6, 2010	
	Rv1542c	glbN		GO:0042803	protein homodimerization activity	PMID:10500158	IDA		F		Rv1542c	protein	organism:1773	20100306	rwst			Mar 6, 2010	
	Rv2428	ahpC		GO:0051260	protein homooligomerization	PMID:10766746	IDA		P		Rv2428	protein	organism:1773	20100306	rwst			Mar 6, 2010	
	Rv2428	ahpC		GO:0032843	hydroperoxide reductase activity	PMID:10766746	IDA		F		Rv2428	protein	organism:1773	20100306	rwst			Mar 6, 2010	
	Rv2429	ahpD		GO:0042803	protein homodimerization activity	PMID:10766746	IDA		F		Rv2429	protein	organism:1773	20100306	rwst			Mar 6, 2010	
	Rv2429	ahpD		GO:0032843	hydroperoxide reductase activity	PMID:10766746	IDA		F		Rv2429	protein	organism:1773	20100306	rwst			Mar 6, 2010	
	Rv2122c	hisE		GO:0075139	response to host iron concentration	PMID:10707257	IMP		P		irg1	protein	organism:1773	20100307	rwst			Mar 7, 2010	
	Rv2123	PPE37		GO:0075139	response to host iron concentration	PMID:10707257	IMP		P		irg2	protein	organism:1773	20100307	rwst			Mar 7, 2010	
	Rv2383c	mbtB		GO:0019540	siderophore biosynthetic process from catechol	PMID:10655517	IMP		P		Rv2383c	protein	organism:1773	20100307	rwst			Mar 7, 2010	
	Rv2150c	ftsZ		GO:0003924	GTPase activity	PMID:10869082	IDA		F		Rv2150c	protein	organism:1773	20100307	rwst			Mar 7, 2010	
	Rv2150c	ftsZ		GO:0051258	protein polymerization	PMID:10869082	IDA		P		Rv2150c	protein	organism:1773	20100307	rwst			Mar 7, 2010	
	Rv0985c	mscL		GO:0022833	mechanically gated channel activity	PMID:10846181	IDA		F		Rv0985c	protein	organism:1773	20100307	rwst			Mar 7, 2010	
	Rv1086	Rv1086		GO:0033850	Z-farnesyl diphosphate synthase activity	PMID:10816587	IDA		F		Rv1086	protein	organism:1773	20100307	rwst			Mar 7, 2010	
	Rv1086	Rv1086		GO:0016094	polyprenol biosynthetic process	PMID:10816587	IDA		P		Rv1086	protein	organism:1773	20100307	rwst			Mar 7, 2010	
	Rv2361c	Rv2361c		GO:0016094	polyprenol biosynthetic process	PMID:10816587	IDA		P		uppS	protein	organism:1773	20100307	rwst			Mar 7, 2010	
	Rv2361c	Rv2361c		GO:0008834	di-trans,poly-cis-decaprenylcistransferase activity	PMID:10816587	IDA		F		uppS	protein	organism:1773	20100307	rwst			Mar 7, 2010	
	Rv2234	ptpA		GO:0004725	protein tyrosine phosphatase activity	PMID:10986245	IDA		F		MPtpA	protein	organism:1773	20100307	rwst			Mar 7, 2010	
	Rv0153c	ptpB		GO:0004725	protein tyrosine phosphatase activity	PMID:10986245	IDA		F		MPtpB	protein	organism:1773	20100307	rwst			Mar 7, 2010	
	Rv2234	ptpA		GO:0005576	extracellular region	PMID:10986245	IDA		C		MPtpA	protein	organism:1773	20100307	rwst			Mar 7, 2010	
	Rv0153c	ptpB		GO:0005576	extracellular region	PMID:10986245	IDA		C		MPtpB	protein	organism:1773	20100307	rwst			Mar 7, 2010	
	Rv1082	mca		GO:0010127	mycothiol-dependent detoxification	PMID:10978158	IDA		P		Rv1082	protein	organism:1773	20100307	rwst			Mar 7, 2010	
	Rv1082	mca		GO:0016811	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides	PMID:10978158	IDA		F		Rv1082	protein	organism:1773	20100307	rwst			Mar 7, 2010	
